student_id,student_name,attendance_percentage,assignment_avg,midterm_score,quiz_avg,lab_score,previous_gpa,study_hours_per_week,extracurricular_activities,socioeconomic_status,parent_education,internet_access
STU0001,Student 1,96.6,84.3,76.9,56.2,85.0,2.59,10.7,2,Medium,High School,1
STU0002,Student 2,75.9,62.3,58.3,62.2,41.8,3.15,16.9,2,High,Bachelor,0
STU0003,Student 3,76.5,58.6,77.8,65.3,84.5,3.2,24.7,2,Low,High School,0
STU0004,Student 4,97.0,87.3,63.7,53.9,29.2,3.16,19.6,0,High,Master,1
STU0005,Student 5,54.9,29.4,28.0,28.7,78.1,2.16,1.9,1,Medium,Bachelor,1
STU0006,Student 6,79.1,77.8,73.4,88.4,60.5,3.62,22.4,1,Low,PhD,1
STU0007,Student 7,43.9,25.0,15.4,25.6,21.1,1.35,3.0,2,Low,PhD,1
STU0008,Student 8,72.1,69.3,55.2,84.5,24.8,3.0,18.6,2,Medium,PhD,1
STU0009,Student 9,77.7,77.4,67.2,88.9,37.7,3.58,22.4,1,High,Master,1
STU0010,Student 10,70.7,59.3,51.4,75.5,88.1,3.26,13.3,2,High,High School,1
STU0011,Student 11,63.3,38.0,32.4,37.0,27.9,1.35,4.1,1,Medium,Master,1
STU0012,Student 12,45.7,47.2,21.8,31.2,42.9,1.42,1.0,1,High,High School,1
STU0013,Student 13,77.5,64.8,57.6,58.8,24.9,3.11,17.5,1,Medium,Master,1
STU0014,Student 14,78.0,56.5,77.4,70.1,88.1,2.92,8.9,2,Medium,Bachelor,1
STU0015,Student 15,85.5,78.7,53.6,64.8,55.3,3.7,12.1,1,Medium,Bachelor,1
STU0016,Student 16,60.1,29.6,19.7,16.0,21.2,1.81,4.0,2,High,Master,1
STU0017,Student 17,63.2,31.9,27.9,35.9,35.7,1.88,4.4,2,Medium,Bachelor,1
STU0018,Student 18,92.9,77.2,73.8,59.7,87.5,3.85,9.6,2,High,High School,1
STU0019,Student 19,93.7,89.3,68.2,85.5,78.9,3.9,22.5,1,High,PhD,1
STU0020,Student 20,70.1,61.4,74.7,77.7,73.4,2.84,19.1,0,Medium,High School,1
STU0021,Student 21,90.8,83.8,63.9,71.7,38.8,3.45,16.6,1,Medium,Bachelor,1
STU0022,Student 22,87.7,86.8,72.6,73.1,74.2,2.79,16.4,2,High,PhD,1
STU0023,Student 23,63.2,48.6,37.9,24.3,52.1,2.11,1.1,0,High,Master,1
STU0024,Student 24,44.2,25.7,21.7,27.1,83.3,1.47,2.9,2,Medium,PhD,1
STU0025,Student 25,80.0,65.2,63.3,62.9,73.2,2.7,22.4,2,Low,Bachelor,1
STU0026,Student 26,94.3,91.5,73.0,70.1,72.6,3.47,21.6,1,High,Master,0
STU0027,Student 27,82.3,81.9,64.8,56.2,84.5,3.76,24.7,0,Medium,Bachelor,1
STU0028,Student 28,79.1,88.1,62.2,88.6,34.6,3.76,15.8,1,High,Master,1
STU0029,Student 29,97.3,75.7,64.5,81.8,25.9,3.16,12.6,0,Medium,High School,0
STU0030,Student 30,89.3,57.3,91.2,67.7,33.7,2.64,12.1,0,Low,High School,1
STU0031,Student 31,85.5,79.5,68.9,59.9,21.1,3.64,14.1,1,Low,Master,0
STU0032,Student 32,89.7,74.0,54.4,69.7,52.5,2.76,16.0,2,Medium,Bachelor,1
STU0033,Student 33,77.3,55.6,92.0,70.0,66.2,3.53,17.2,2,Medium,High School,1
STU0034,Student 34,92.4,82.1,75.8,55.1,66.9,3.73,21.8,0,Low,PhD,1
STU0035,Student 35,37.1,23.0,15.5,17.4,43.9,1.09,4.4,1,Medium,Bachelor,1
STU0036,Student 36,49.9,40.8,23.7,38.4,92.6,1.5,1.2,1,Low,High School,1
STU0037,Student 37,90.5,60.1,61.3,73.2,37.9,3.34,22.7,2,Low,Master,1
STU0038,Student 38,62.1,35.2,35.7,23.0,20.8,1.47,5.5,0,High,PhD,1
STU0039,Student 39,88.9,74.3,72.2,53.3,61.5,3.4,9.6,0,Low,Master,1
STU0040,Student 40,62.9,49.2,39.9,16.4,72.9,1.66,4.7,2,Low,Bachelor,1
STU0041,Student 41,93.5,72.0,60.0,65.9,58.5,2.72,23.2,1,High,PhD,1
STU0042,Student 42,92.8,92.9,94.4,80.1,78.3,2.63,14.4,1,High,Master,1
STU0043,Student 43,82.2,65.1,68.2,72.9,81.7,3.65,20.6,2,Low,Master,1
STU0044,Student 44,80.5,66.4,89.1,58.9,92.7,2.52,24.4,0,High,High School,0
STU0045,Student 45,95.7,65.1,81.3,53.0,42.1,2.83,10.8,0,Low,Bachelor,1
STU0046,Student 46,71.3,66.2,92.8,85.6,40.8,3.43,15.7,1,Medium,PhD,1
STU0047,Student 47,64.2,49.6,32.5,28.4,71.4,1.98,2.5,0,Low,Bachelor,0
STU0048,Student 48,81.7,78.2,91.4,53.3,32.4,3.33,22.9,0,Medium,High School,1
STU0049,Student 49,80.5,85.0,67.7,83.2,22.8,2.6,17.7,2,Low,High School,0
STU0050,Student 50,92.8,95.0,94.8,72.2,83.7,3.92,21.1,0,Low,Bachelor,1
